Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
1002,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y,5849
1003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N,6091
1005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y,3000
1006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y,4941
1008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y,6000
1011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y,9613
1013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y,3849
1014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N,5540
1018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y,5532
1020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N,23809
1024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y,3900
1027,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y,4340
1028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y,11179
1029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N,4693
1030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y,2385
1032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y,4950
1034,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y,3596
1036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N,3510
1038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N,4887
1041,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y,6100
1043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N,7660
1046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y,11580
1047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N,4511
1050,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N,5282
1052,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N,6642
1066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y,9560
1068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y,5052
1073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y,5266
1086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N,1442
1087,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y,5833
1091,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N,7535
1095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N,3167
1097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N,4692
1098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y,5167
1100,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N,15500
1106,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y,4342
1109,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N,3158
1112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y,5126
1114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y,11376
1116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y,5416
1119,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N,3600
1120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y,3013
1123,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y,2400
1131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y,6277
1136,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y,4695
1137,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y,3410
1138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y,5649
1144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y,5821
1146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N,6085
1151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y,6275
1155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y,3572
1157,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y,3086
1164,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N,4230
1179,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N,4616
1186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N,11500
1194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y,3875
1195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y,3723
1197,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N,5566
1198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y,10330
1199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y,6216
1205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y,6296
1206,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y,3029
1207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N,6058
1213,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N,4945
1222,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N,4166
1225,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N,10321
1228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N,5454
1233,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y,10750
1238,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y,7100
1241,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N,4300
1243,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y,6274
1245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y,3750
1248,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y,3500
1250,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,N,4755
1253,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y,7040
1255,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N,3750
1256,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N,8500
1259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N,4022
1263,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N,7167
1264,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y,5499
1265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y,3846
1266,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y,2395
1267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N,3259
1273,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N,8250
1275,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y,3988
1279,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y,4897
1280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,Y,5333
1282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y,4618
1289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y,8566
1310,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y,9862
1316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y,5858
1318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y,11904
1319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y,5093
1322,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y,4133
1325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y,3620
1326,Male,No,0,Graduate,,6782,0,,360,,Urban,N,6782
1327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y,4786
1333,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y,2974
1334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y,4188
1343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y,5300
1345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y,7551
1349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y,8649
1350,Male,Yes,,Graduate,No,13650,0,,360,1,Urban,Y,13650
1356,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,Y,8235
1357,Male,,,Graduate,No,3816,754,160,360,1,Urban,Y,4570
1367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y,4082
1369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y,12543
1370,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,N,7333
1379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N,7400
1384,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y,2825
1385,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y,5316
1387,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y,5262
1391,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural,N,7686
1392,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban,Y,7451
1398,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y,5050
1401,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y,14583
1404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y,5450
1405,Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,Y,3612
1421,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N,7710
1422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y,10408
1426,Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural,Y,8334
1430,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y,4166
1431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y,11117
1432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y,2957
1439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y,6314
1443,Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y,3692
1448,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y,23803
1449,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y,5505
